127.0.0.1, 2018-07-20 08:40:12, GET, /admin/default/site, HTTP/1.1, 200, 0.028178
127.0.0.1, 2018-07-20 08:40:33, GET, /favicon.ico, HTTP/1.1, 400, 0.000411
127.0.0.1, 2018-07-20 08:41:10, GET, /admin/default/site, HTTP/1.1, 200, 0.041297
127.0.0.1, 2018-07-20 08:41:31, GET, /favicon.ico, HTTP/1.1, 400, 0.000222
127.0.0.1, 2018-07-20 08:42:04, POST, /admin/default/site, HTTP/1.1, 303, 0.049389
127.0.0.1, 2018-07-20 08:42:04, GET, /admin/default/design/hello, HTTP/1.1, 200, 0.117279
127.0.0.1, 2018-07-20 08:42:04, GET, /admin/static/_2.16.1/images/search.png, HTTP/1.1, 200, 0.000557
127.0.0.1, 2018-07-20 08:42:04, GET, /admin/static/_2.16.1/images/help.png, HTTP/1.1, 200, 0.000370
127.0.0.1, 2018-07-20 08:42:04, GET, /admin/static/_2.16.1/images/delete_icon.png, HTTP/1.1, 200, 0.000432
127.0.0.1, 2018-07-20 08:42:05, GET, /admin/static/_2.16.1/images/test_icon.png, HTTP/1.1, 200, 0.000570
127.0.0.1, 2018-07-20 08:42:05, GET, /favicon.ico, HTTP/1.1, 400, 0.000251
127.0.0.1, 2018-07-20 08:42:22, GET, /hello/appadmin/d3_graph_model, HTTP/1.1, 200, 0.059248
127.0.0.1, 2018-07-20 08:42:22, GET, /hello/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000946
127.0.0.1, 2018-07-20 08:42:22, GET, /hello/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.001347
127.0.0.1, 2018-07-20 08:42:22, GET, /hello/static/css/calendar.css, HTTP/1.1, 200, 0.003811
127.0.0.1, 2018-07-20 08:42:22, GET, /hello/static/js/calendar.js, HTTP/1.1, 200, 0.005650
127.0.0.1, 2018-07-20 08:42:22, GET, /hello/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.005671
127.0.0.1, 2018-07-20 08:42:22, GET, /hello/static/js/jquery.js, HTTP/1.1, 200, 0.003358
